 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Município e Faixa Etária 1
Período:2020
"Município";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 29 anos";"30 a 39 anos";"40 a 49 anos";"50 a 59 anos";"60 a 69 anos";"70 a 79 anos";"80 anos e mais";"Total"
"410130 Antônio Olinto";475;484;424;430;1089;959;1089;1135;762;386;194;7427
"410140 Apucarana";8827;8838;8842;9164;20666;20995;18791;17076;12500;7163;3372;136234
"410150 Arapongas";8076;7971;8165;8731;19254;19902;17962;15346;10580;5934;2889;124810
"410160 Arapoti";2262;2140;1966;2071;4884;4030;3796;3423;2112;1118;498;28300
"410165 Arapuã";170;178;153;146;443;373;384;444;331;254;133;3009
"410170 Araruna";839;842;832;880;2205;1954;1997;1942;1351;768;390;14000
"410180 Araucária";11277;10714;10469;11927;26215;23412;20366;15878;9928;4345;1683;146214
"410185 Ariranha do Ivaí";126;125;110;105;256;275;287;315;234;158;75;2066
"410190 Assaí";973;981;919;857;2101;2142;1979;1948;1548;1011;495;14954
"410200 Assis Chateaubriand";1848;1930;1893;1991;4778;4585;4776;4798;3469;2201;1059;33328
"410210 Astorga";1561;1622;1618;1520;3747;3787;3567;3591;2759;1609;828;26209
"410220 Atalaia";178;194;187;206;541;522;566;640;442;277;128;3881
"410230 Balsa Nova";943;930;886;870;2179;2009;1877;1613;1081;493;211;13092
"410240 Bandeirantes";1985;1959;1916;1972;4458;4580;4122;4299;3186;1842;892;31211
"410250 Barbosa Ferraz";666;698;624;588;1580;1560;1551;1710;1212;790;447;11426
"410270 Barra do Jacaré";133;137;133;140;385;407;371;431;334;216;94;2781
"410260 Barracão";660;639;575;648;1752;1593;1382;1301;993;529;240;10312
"410275 Bela Vista da Caroba";213;208;177;186;476;411;436;582;425;240;103;3457
"410280 Bela Vista do Paraíso";903;906;870;898;2208;2155;2033;2131;1645;1059;591;15399
"410290 Bituruna";1471;1374;1191;1240;2765;2305;2180;1785;1178;631;280;16400
"410300 Boa Esperança";205;211;203;229;507;567;592;676;452;271;134;4047
"410302 Boa Esperança do Iguaçu";161;156;132;177;366;372;373;329;237;114;53;2470
"410304 Boa Ventura de São Roque";518;479;405;435;1123;964;909;713;474;246;99;6365
"410305 Boa Vista da Aparecida";559;541;449;460;1086;938;1097;924;770;502;214;7540
"410310 Bocaiúva do Sul";1200;1113;973;1007;2248;1884;1747;1341;920;477;219;13129
"410315 Bom Jesus do Sul";224;230;191;165;499;411;478;464;438;273;133;3506
"410320 Bom Sucesso";487;471;443;471;1148;1041;949;950;560;356;192;7068
"410322 Bom Sucesso do Sul";182;189;180;175;498;455;433;488;349;218;87;3254
"410330 Borrazópolis";322;334;313;287;859;842;940;1004;780;487;271;6439
"410335 Braganey";340;335;311;355;764;771;742;797;519;303;145;5382
"410337 Brasilândia do Sul";140;146;139;136;359;326;361;450;270;167;91;2585
"410340 Cafeara";171;181;172;193;457;468;404;450;252;139;67;2954
"410345 Cafelândia";1285;1265;1260;1369;3141;2884;2655;2327;1333;651;286;18456
"410347 Cafezal do Sul";218;223;210;212;545;534;571;639;441;252;164;4009
"410350 Califórnia";561;585;575;551;1291;1255;1055;1181;797;504;251;8606
"410360 Cambará";1601;1601;1570;1642;3692;3762;3501;3356;2463;1486;792;25466
"410370 Cambé";6840;6758;6640;7337;16430;16256;15387;13722;9872;5527;2572;107341
"410380 Cambira";473;476;476;502;1126;1212;1088;1055;818;459;232;7917
"410390 Campina da Lagoa";918;937;843;786;2041;1804;1972;1944;1452;903;443;14043
"410395 Campina do Simão";323;294;256;280;616;523;531;496;335;151;54;3859
"410400 Campina Grande do Sul";3691;3510;3263;3320;7596;6674;5866;4723;3059;1410;573;43685
"410405 Campo Bonito";252;245;214;242;651;486;532;517;310;206;108;3763
"410410 Campo do Tenente";715;671;597;604;1408;1157;1074;890;530;271;128;8045
"410420 Campo Largo";9446;9207;8893;9573;22565;20811;19893;16292;10192;4959;2034;133865
"410425 Campo Magro";2360;2279;2146;2194;5252;4449;4117;3481;2136;974;352;29740
"410430 Campo Mourão";6020;6007;5907;6361;15347;15154;13197;12226;8615;4560;2094;95488
"410440 Cândido de Abreu";1180;1105;913;894;2313;1977;2056;1915;1381;763;312;14809
"410442 Candói";1336;1259;1115;1199;2706;2186;2233;1957;1221;606;235;16053
"410445 Cantagalo";1151;1087;918;943;2234;1743;1792;1561;1109;557;234;13329
"410450 Capanema";1139;1144;1065;1161;2929;2705;2671;2657;1991;1167;519;19148
"410460 Capitão Leônidas Marques";1072;1068;998;1022;2412;2285;2215;1983;1470;917;392;15834
"410465 Carambeí";2241;2071;1962;2063;4233;3490;3157;2287;1383;667;271;23825
"410470 Carlópolis";934;908;863;926;2107;2169;1929;1943;1443;763;371;14356
"410480 Cascavel";22678;22171;22257;23767;56530;54876;45992;38896;26451;13156;5559;332333
"410490 Castro";6362;5984;5490;5593;11960;10353;9583;7600;5041;2687;1156;71809
"410500 Catanduvas";750;755;678;658;1666;1459;1442;1233;837;479;210;10167
"410510 Centenário do Sul";607;620;580;627;1658;1591;1573;1521;1085;587;315;10764
"410520 Cerro Azul";1516;1403;1157;1304;2983;2587;2372;2043;1390;745;333;17833
"410530 Céu Azul";727;720;681;752;1862;1734;1707;1577;1110;656;293;11819
"410540 Chopinzinho";1268;1244;1162;1213;2873;2788;2557;2616;1854;1083;509;19167
"410550 Cianorte";5358;5352;5499;5604;13707;13543;11944;10508;6747;3715;1839;83816
"410560 Cidade Gaúcha";904;883;839;924;2122;1939;1829;1575;973;520;289;12797
"410570 Clevelândia";1238;1204;1079;1070;2615;2101;2052;2184;1553;883;471;16450
"410580 Colombo";19934;18781;17908;19876;43675;38295;34502;26391;16768;7598;2812;246540
"410590 Colorado";1249;1263;1278;1451;3453;3674;3586;3467;2578;1404;739;24142
"410600 Congonhinhas";602;599;546;532;1373;1211;1196;1235;809;482;272;8857
"410610 Conselheiro Mairinck";266;253;232;230;614;556;553;478;376;208;110;3876
"410620 Contenda";1399;1363;1300;1448;3009;2806;2710;2238;1455;789;320;18837
"410630 Corbélia";1092;1109;1074;1072;2728;2593;2183;2331;1584;886;465;17117
"410640 Cornélio Procópio";2665;2698;2753;2889;6611;7189;6616;6490;5303;3067;1561;47842
"410645 Coronel Domingos Soares";717;656;555;539;1381;1087;962;818;460;249;94;7518
"410650 Coronel Vivida";1306;1300;1217;1255;3153;2899;2635;2780;2181;1227;627;20580
"410655 Corumbataí do Sul";180;180;155;162;421;409;462;480;339;230;109;3127
"410680 Cruz Machado";1411;1317;1152;1464;3092;2791;2658;2250;1441;785;380;18741
"410657 Cruzeiro do Iguaçu";295;284;261;298;644;587;555;576;412;210;118;4240
"410660 Cruzeiro do Oeste";1268;1284;1234;1221;3049;2934;3104;2855;2053;1250;695;20947
"410670 Cruzeiro do Sul";279;279;271;271;632;682;618;610;457;227;123;4449
"410685 Cruzmaltina";172;175;155;138;444;399;452;421;308;165;92;2921
"410690 Curitiba";117014;115886;122875;137071;294207;316531;287578;238805;178327;94997;45335;1948626
"410700 Curiúva";1172;1127;1000;998;2472;2273;2053;1805;1289;689;318;15196
"410715 Diamante D'Oeste";406;423;420;344;788;695;632;693;436;299;130;5266
"410710 Diamante do Norte";280;288;278;281;683;670;709;738;525;387;191;5030
"410712 Diamante do Sul";283;267;206;209;609;458;501;450;212;154;75;3424
"410720 Dois Vizinhos";2774;2698;2629;2892;6805;6473;5645;5084;3495;1715;828;41038
"410725 Douradina";589;594;587;559;1309;1426;1288;1149;736;398;234;8869
"410730 Doutor Camargo";260;279;295;339;852;790;773;999;698;449;249;5983
"412863 Doutor Ulysses";489;440;351;411;973;736;787;620;402;240;103;5552
"410740 Enéas Marques";358;369;348;354;852;836;834;914;620;310;138;5933
"410750 Engenheiro Beltrão";825;807;801;914;2104;2038;1932;2020;1371;781;388;13981
"410753 Entre Rios do Oeste";277;287;300;305;651;666;655;639;450;266;100;4596
"410752 Esperança Nova";80;90;84;88;202;211;250;271;179;139;71;1665
"410754 Espigão Alto do Iguaçu";333;312;263;254;566;502;516;498;396;278;130;4048
"410755 Farol";208;207;180;167;471;389;435;419;297;176;92;3041
"410760 Faxinal";1211;1204;1122;1138;2743;2490;2217;2229;1518;968;476;17316
"410765 Fazenda Rio Grande";9058;8324;7728;8761;19093;15034;13553;10609;6462;2513;869;102004
"410770 Fênix";256;255;235;267;710;642;683;722;490;311;177;4748
"410773 Fernandes Pinheiro";441;414;371;407;935;779;795;696;436;224;104;5602
"410775 Figueira";512;501;441;431;1149;980;1106;1058;770;501;247;7696
"410785 Flor da Serra do Sul";288;289;242;268;767;593;632;691;452;258;123;4603
"410780 Floraí";211;232;240;228;679;728;666;748;577;394;203;4906
"410790 Floresta";413;413;423;454;1024;1102;951;875;679;345;172;6851
"410800 Florestópolis";670;669;644;659;1601;1602;1542;1386;926;497;257;10453
"410810 Flórida";170;173;172;175;362;356;365;430;260;156;80;2699
"410820 Formosa do Oeste";267;285;289;309;834;861;883;1088;817;521;306;6460
"410830 Foz do Iguaçu";19442;18611;17620;18613;42671;37845;35911;31538;21697;10352;3948;258248
"410845 Foz do Jordão";397;357;294;349;762;568;622;527;395;205;80;4556
"410832 Francisco Alves";387;402;371;341;840;714;731;890;664;438;215;5993
"410840 Francisco Beltrão";6187;6078;6101;6272;15442;15537;12043;11115;7647;4040;1754;92216
"410850 General Carneiro";1205;1102;959;1157;2396;1817;1793;1518;959;547;232;13685
"410855 Godoy Moreira";158;165;142;132;357;310;423;514;353;235;109;2898
"410860 Goioerê";1724;1730;1668;1836;4174;4263;3911;4029;2885;1696;892;28808
"410865 Goioxim";608;576;462;517;1132;971;922;861;585;310;109;7053
"410870 Grandes Rios";350;363;326;286;816;739;768;798;566;324;161;5497
"410880 Guaíra";2551;2513;2367;2248;4970;4930;4511;3940;2799;1668;813;33310
"410890 Guairaçá";467;464;462;420;989;986;847;847;599;341;187;6609
"410895 Guamiranga";680;663;593;566;1572;1339;1119;1114;667;343;155;8811
"410900 Guapirama";255;273;254;193;569;545;479;570;362;196;88;3784
"410910 Guaporema";123;128;126;118;371;326;291;328;223;121;86;2241
"410920 Guaraci";358;367;358;345;885;790;737;702;475;335;178;5530
"410930 Guaraniaçu";797;786;691;719;1840;1599;1720;1695;1275;758;337;12217
"410940 Guarapuava";13736;13158;12573;13871;31291;27044;24626;21875;14350;7160;2960;182644
"410950 Guaraqueçaba";639;592;486;517;1262;1055;1062;821;621;365;174;7594
"410960 Guaratuba";2916;2727;2355;2367;5612;4706;5203;5203;3787;1942;709;37527
"410965 Honório Serpa";412;380;298;306;792;679;778;649;484;236;105;5119
"410970 Ibaiti";2377;2248;2074;2146;4973;4736;4276;3883;2664;1478;726;31581
"410975 Ibema";459;432;385;441;1060;835;917;823;533;341;144;6370
"410980 Ibiporã";3634;3542;3460;3736;8289;8224;7841;6939;5375;2750;1341;55131
"410990 Icaraíma";455;472;438;452;1116;1029;1053;1089;847;554;281;7786
"411000 Iguaraçu";276;294;288;255;724;693;651;582;390;199;88;4440
"411005 Iguatu";142;145;130;127;340;309;306;319;213;149;73;2253
"411007 Imbaú";1248;1158;1011;1012;2270;1784;1821;1331;907;510;230;13282
"411010 Imbituva";2657;2473;2350;2913;5800;4733;4452;3609;2311;1143;499;32940
"411020 Inácio Martins";1086;984;837;885;1958;1380;1534;1151;752;383;171;11121
"411030 Inajá";195;200;194;182;506;411;475;406;280;177;90;3116
"411040 Indianópolis";265;286;277;255;627;620;605;618;482;274;156;4465
"411050 Ipiranga";1270;1206;1084;1143;2670;2312;2067;1650;1070;536;243;15251
"411060 Iporã";803;828;783;780;1948;1869;1817;1954;1529;902;569;13782
"411065 Iracema do Oeste";117;120;118;130;299;306;324;391;203;158;85;2251
"411070 Irati";4211;4118;3978;4125;9828;9334;8529;7702;5224;2731;1308;61088
"411080 Iretama";640;653;574;607;1461;1339;1459;1476;985;599;305;10098
"411090 Itaguajé";309;319;301;259;656;675;582;567;411;229;138;4446
"411095 Itaipulândia";739;735;711;768;1743;1660;1558;1548;1042;619;262;11385
"411100 Itambaracá";418;413;376;372;933;881;924;860;722;410;240;6549
"411110 Itambé";367;374;377;392;914;910;853;824;612;331;155;6109
"411120 Itapejara d'Oeste";766;776;737;749;1913;1804;1601;1602;1174;648;324;12094
"411125 Itaperuçu";2697;2462;2288;2666;5302;4399;3958;2758;1466;782;292;29070
"411130 Itaúna do Sul";198;193;175;167;412;378;355;355;262;183;103;2781
"411140 Ivaí";1192;1090;972;1053;2266;2136;1941;1495;982;567;271;13965
"411150 Ivaiporã";1958;1950;1828;1833;4598;4510;4371;4565;3345;1966;1011;31935
"411155 Ivaté";566;550;532;533;1224;1265;1201;1092;692;368;217;8240
"411160 Ivatuba";135;199;274;190;600;478;393;430;323;160;97;3279
"411170 Jaboti";328;321;282;318;777;711;845;744;513;299;165;5303
"411180 Jacarezinho";2704;2656;2582;2680;5990;5985;5338;4859;3557;2003;968;39322
"411190 Jaguapitã";865;869;858;892;2136;2173;1910;1732;1213;689;405;13742
"411200 Jaguariaíva";2965;2833;2617;2596;5954;5395;4717;3751;2509;1176;514;35027
"411210 Jandaia do Sul";1151;1186;1195;1302;3126;3056;2881;3040;2199;1357;737;21230
"411220 Janiópolis";275;284;258;264;714;642;672;773;624;396;193;5095
"411230 Japira";348;344;314;332;703;663;665;661;512;309;142;4993
"411240 Japurá";502;532;539;546;1342;1370;1312;1402;1039;601;315;9500
"411250 Jardim Alegre";676;679;602;611;1538;1517;1556;1556;1233;812;416;11196
"411260 Jardim Olinda";87;88;78;63;221;168;189;211;110;64;41;1320
"411270 Jataizinho";943;896;843;945;2039;1786;1650;1546;1097;612;281;12638
"411275 Jesuítas";478;498;477;412;1071;1021;1196;1283;917;635;342;8330
"411280 Joaquim Távora";805;806;793;796;1837;1966;1603;1469;1014;620;300;12009
"411290 Jundiaí do Sul";213;215;185;202;456;402;452;481;358;200;105;3269
"411295 Juranda";379;363;336;480;1084;1043;1124;1122;740;405;216;7292
"411300 Jussara";455;447;429;495;1077;1004;982;948;618;392;194;7041
"411310 Kaloré";195;211;200;177;528;522;540;661;479;332;202;4047
"411320 Lapa";3468;3322;3138;3457;7526;7347;6863;5982;4190;2149;968;48410
"411325 Laranjal";540;491;392;450;1050;795;746;642;392;207;79;5784
"411330 Laranjeiras do Sul";2325;2229;2038;2280;5460;4588;4167;3834;2892;1542;784;32139
"411340 Leópolis";226;219;205;219;542;553;530;542;480;276;133;3925
"411342 Lidianópolis";168;182;172;150;379;377;425;539;418;284;137;3231
"411345 Lindoeste";291;293;244;226;629;559;669;700;526;326;129;4592
"411350 Loanda";1510;1525;1516;1545;3597;3612;3269;2932;2007;1131;598;23242
"411360 Lobato";270;277;281;294;727;731;708;726;458;221;126;4819
"411370 Londrina";35477;35181;36320;39321;86145;90109;78602;71645;55178;31844;15555;575377
"411373 Luiziana";549;531;484;478;1104;1077;992;929;602;339;155;7240
"411375 Lunardelli";287;286;258;258;613;614;646;749;538;335;160;4744
"411380 Lupionópolis";281;287;281;348;748;684;657;723;435;315;186;4945
"411390 Mallet";889;854;807;931;2175;2125;1844;1781;1236;665;356;13663
"411400 Mamborê";844;848;811;807;1874;1796;1767;1878;1332;723;334;13014
"411410 Mandaguaçu";1467;1477;1448;1585;3687;3495;3157;3029;2008;1148;599;23100
"411420 Mandaguari";1965;1967;1964;2167;5131;5063;4827;4637;3592;2113;1089;34515
"411430 Mandirituba";2171;2078;1886;2050;4358;3778;3726;3506;2207;1090;465;27315
"411435 Manfrinópolis";180;171;138;143;417;354;343;326;244;131;59;2506
"411440 Mangueirinha";1380;1299;1160;1123;2785;2334;2196;1949;1349;767;300;16642
"411450 Manoel Ribas";1074;1033;947;959;2106;1930;1684;1616;1186;686;289;13510
"411460 Marechal Cândido Rondon";3086;3116;3155;3529;8370;8574;7504;7096;4824;2867;1374;53495
"411470 Maria Helena";287;299;278;322;905;811;816;853;558;312;193;5634
"411480 Marialva";2165;2185;2214;2351;5138;5550;5005;4640;3570;2075;911;35804
"411490 Marilândia do Sul";572;566;546;610;1312;1278;1215;1180;841;447;247;8814
"411500 Marilena";440;447;421;424;1114;968;927;974;664;476;229;7084
"411510 Mariluz";746;739;665;720;1632;1421;1442;1348;798;531;294;10336
"411520 Maringá";23699;24321;26828;28828;64244;73735;59865;55142;40860;22445;10190;430157
"411530 Mariópolis";419;426;420;431;995;960;862;915;676;375;153;6632
"411535 Maripá";272;285;284;314;773;786;800;833;604;428;203;5582
"411540 Marmeleiro";971;956;848;908;2310;2129;1808;1888;1394;809;366;14387
"411545 Marquinho";335;317;263;268;657;586;634;539;417;234;90;4340
"411550 Marumbi";265;268;262;283;741;695;612;637;503;266;145;4677
"411560 Matelândia";1299;1311;1274;1246;2844;2672;2508;2199;1514;842;398;18107
"411570 Matinhos";2516;2396;2085;2107;5124;4342;4715;5045;4093;2044;752;35219
"411573 Mato Rico";213;209;182;167;496;434;489;423;325;175;93;3206
"411575 Mauá da Serra";944;924;847;793;1914;1595;1440;1153;666;364;160;10800
"411580 Medianeira";2981;3018;3079;3214;7403;7421;6338;5969;4068;2090;993;46574
"411585 Mercedes";361;375;353;331;860;743;773;752;520;333;176;5577
"411590 Mirador";158;158;148;139;357;294;279;304;181;115;63;2196
"411600 Miraselva";88;90;84;101;230;257;229;253;247;152;65;1796
"411605 Missal";603;635;605;566;1455;1374;1558;1621;1187;800;300;10704
"411610 Moreira Sales";711;726;686;673;1678;1611;1569;1821;1342;730;495;12042
"411620 Morretes";1290;1231;1086;1084;2532;2146;2317;2069;1476;832;383;16446
"411630 Munhoz de Melo";214;218;209;230;627;545;510;632;377;297;150;4009
"411640 Nossa Senhora das Graças";211;212;204;238;641;565;571;659;399;200;108;4008
"411650 Nova Aliança do Ivaí";119;112;104;96;286;217;214;197;114;59;33;1551
"411660 Nova América da Colina";220;223;216;221;484;505;501;468;318;189;89;3434
"411670 Nova Aurora";555;574;550;595;1484;1363;1461;1560;1123;694;340;10299
"411680 Nova Cantu";319;326;275;255;763;594;698;812;574;306;139;5061
"411690 Nova Esperança";1675;1671;1638;1809;4149;4049;3965;3789;2798;1588;853;27984
"411695 Nova Esperança do Sudoeste";338;337;296;294;793;682;663;755;497;263;112;5030
"411700 Nova Fátima";547;543;502;460;1206;1104;1170;1079;829;468;228;8136
"411705 Nova Laranjeiras";1089;1027;834;800;1884;1510;1357;1405;918;469;214;11507
"411710 Nova Londrina";854;852;829;858;2030;1928;1842;1784;1171;693;359;13200
"411720 Nova Olímpia";359;361;335;347;885;786;881;746;552;360;214;5826
"411725 Nova Prata do Iguaçu";650;653;613;689;1641;1589;1456;1407;955;627;264;10544
"411721 Nova Santa Bárbara";272;268;238;260;663;563;527;622;398;303;163;4277
"411722 Nova Santa Rosa";487;505;480;470;1237;1185;1107;1139;847;521;288;8266
"411727 Nova Tebas";346;350;289;256;737;678;819;831;611;357;174;5448
"411729 Novo Itacolomi";135;145;144;161;415;393;389;440;322;187;109;2840
"411730 Ortigueira";1776;1700;1471;1478;3399;2990;3104;2666;1809;1106;461;21960
"411740 Ourizona";182;194;200;204;482;538;447;502;354;211;111;3425
"411745 Ouro Verde do Oeste";406;401;371;370;955;886;840;768;528;327;164;6016
"411750 Paiçandu";2820;2741;2702;3021;6987;6523;5975;5121;3368;1767;748;41773
"411760 Palmas";5101;4683;4181;4543;9437;7477;6430;4882;3017;1406;598;51755
"411770 Palmeira";2500;2413;2274;2428;5641;5174;4552;4138;2765;1422;687;33994
"411780 Palmital";1050;974;810;914;1991;1713;1797;1569;1125;699;318;12960
"411790 Palotina";2012;2010;2057;2188;5002;4940;4358;4115;2902;1782;755;32121
"411800 Paraíso do Norte";955;943;939;977;2275;2249;1964;1718;1078;589;336;14023
"411810 Paranacity";897;896;849;787;1884;1768;1461;1470;854;459;255;11580
"411820 Paranaguá";12780;12112;11289;12476;26815;23201;21246;17618;10858;5382;2397;156174
"411830 Paranapoema";246;240;229;211;530;491;438;446;228;125;57;3241
"411840 Paranavaí";5472;5554;5588;5707;13134;13314;12186;11965;8436;4961;2605;88922
"411845 Pato Bragado";379;387;374;360;820;867;799;744;522;296;136;5684
"411850 Pato Branco";5560;5533;5715;5999;13982;13571;10876;9865;7340;3734;1668;83843
"411860 Paula Freitas";417;396;369;392;907;843;841;799;506;296;142;5908
"411870 Paulo Frontin";482;467;425;494;1225;1099;1030;923;703;373;166;7387
"411880 Peabiru";876;859;807;911;2227;2105;1951;1867;1336;725;343;14007
"411885 Perobal";379;387;375;410;908;890;875;857;547;346;186;6160
"411890 Pérola";642;655;667;674;1576;1862;1593;1405;1143;682;422;11321
"411900 Pérola d'Oeste";336;346;313;344;895;850;797;998;773;430;206;6288
"411910 Piên";1034;976;867;951;2172;1956;1911;1455;936;460;164;12882
"411915 Pinhais";9776;9326;9223;10438;22105;20945;20115;15127;9975;4721;1739;133490
"411925 Pinhal de São Bento";203;195;164;177;432;375;353;371;284;134;49;2737
"411920 Pinhalão";379;387;359;402;876;953;877;896;685;345;165;6324
"411930 Pinhão";2917;2715;2352;2669;5983;4408;4118;3474;2308;1148;467;32559
"411940 Piraí do Sul";2082;1979;1860;1965;4036;3701;3409;2870;1962;1166;599;25629
"411950 Piraquara";10021;9103;8599;10134;21629;17517;15682;11503;6651;2999;1132;114970
"411960 Pitanga";2149;2055;1808;1888;4859;4373;4268;3928;2551;1475;640;29994
"411965 Pitangueiras";224;223;203;221;542;451;469;431;270;163;65;3262
"411970 Planaltina do Paraná";270;274;263;286;646;636;554;592;365;235;151;4272
"411980 Planalto";734;747;719;731;1912;1803;1853;2114;1467;903;448;13431
"411990 Ponta Grossa";27067;26139;25583;27704;59253;53872;48065;39201;27579;14281;6592;355336
"411995 Pontal do Paraná";1985;1831;1597;1677;3941;3478;3774;4212;3187;1643;590;27915
"412000 Porecatu";689;719;695;750;1793;1768;1939;1873;1317;840;365;12748
"412010 Porto Amazonas";342;333;312;367;815;755;648;566;388;227;121;4874
"412015 Porto Barreiro";222;216;194;205;499;435;430;403;334;178;68;3184
"412020 Porto Rico";168;173;162;147;411;361;396;325;233;112;68;2556
"412030 Porto Vitória";304;286;246;266;629;522;575;507;419;208;99;4061
"412033 Prado Ferreira";250;255;247;232;593;534;542;499;329;215;84;3780
"412035 Pranchita";271;278;262;275;688;720;718;780;567;358;178;5095
"412040 Presidente Castelo Branco";363;362;348;389;904;778;785;656;420;233;113;5351
"412050 Primeiro de Maio";576;581;560;628;1552;1629;1461;1686;1339;724;394;11130
"412060 Prudentópolis";3852;3751;3417;3695;8314;7752;7375;6431;4415;2427;1084;52513
"412065 Quarto Centenário";260;268;258;267;623;636;595;741;419;245;153;4465
"412070 Quatiguá";409;429;439;416;1066;1082;1033;1072;822;480;229;7477
"412080 Quatro Barras";1841;1781;1747;1823;4107;3615;3337;2792;1720;823;325;23911
"412085 Quatro Pontes";190;204;206;225;617;556;552;617;421;269;172;4029
"412090 Quedas do Iguaçu";2842;2692;2367;2508;5730;4737;4532;3973;2808;1585;635;34409
"412100 Querência do Norte";892;877;783;703;1988;1690;1718;1605;1069;625;282;12232
"412110 Quinta do Sol";283;285;263;246;685;610;592;685;432;283;144;4508
"412120 Quitandinha";1418;1369;1220;1283;3046;2808;2748;2447;1629;887;366;19221
"412125 Ramilândia";350;336;276;284;757;665;604;544;343;230;87;4476
"412130 Rancho Alegre";189;197;188;195;558;503;499;588;418;301;148;3784
"412135 Rancho Alegre D'Oeste";158;158;149;159;377;363;382;373;268;146;95;2628
"412140 Realeza";1043;1057;1045;1031;2608;2549;2183;2290;1658;997;489;16950
"412150 Rebouças";1090;1062;986;1066;2439;2171;1898;1965;1272;697;300;14946
"412160 Renascença";494;489;440;419;1040;946;875;969;647;323;145;6787
"412170 Reserva";2397;2234;1971;2183;4499;3930;3469;2795;1780;1104;463;26825
"412175 Reserva do Iguaçu";739;682;579;676;1585;1022;1022;841;548;264;111;8069
"412180 Ribeirão Claro";657;648;609;656;1545;1553;1494;1447;1090;618;328;10645
"412190 Ribeirão do Pinhal";848;844;762;728;1952;1704;1669;1836;1301;825;479;12948
"412200 Rio Azul";1166;1100;1009;1114;2632;2372;2073;1804;1156;628;282;15336
"412210 Rio Bom";166;172;164;172;424;442;374;515;356;243;154;3182
"412215 Rio Bonito do Iguaçu";1117;1008;790;883;2143;1631;1827;1728;1170;689;269;13255
"412217 Rio Branco do Ivaí";324;313;260;265;731;597;544;465;331;175;104;4109
"412220 Rio Branco do Sul";2832;2645;2386;2580;5670;5113;4491;3460;1998;963;379;32517
"412230 Rio Negro";2542;2484;2366;2411;5380;5172;4950;4064;2839;1493;710;34411
"412240 Rolândia";4369;4364;4419;4687;10330;10613;9571;8328;5817;3337;1548;67383
"412250 Roncador";617;604;544;645;1360;1441;1367;1328;929;552;258;9645
"412260 Rondon";629;626;603;694;1491;1393;1368;1297;806;471;244;9622
"412265 Rosário do Ivaí";296;308;274;240;724;597;630;711;429;318;162;4689
"412270 Sabáudia";414;433;416;426;1105;999;996;919;658;349;176;6891
"412280 Salgado Filho";205;201;161;187;544;461;491;478;390;233;132;3483
"412290 Salto do Itararé";281;281;270;274;692;659;658;711;583;321;168;4898
"412300 Salto do Lontra";1006;1006;961;978;2447;2404;1979;1860;1223;687;321;14872
"412310 Santa Amélia";201;209;199;164;455;392;420;504;377;231;114;3266
"412320 Santa Cecília do Pavão";211;214;198;167;505;424;404;505;329;227;109;3293
"412330 Santa Cruz de Monte Castelo";467;470;454;459;1107;1137;1046;1097;763;483;268;7751
"412340 Santa Fé";711;725;737;789;1812;1902;1640;1700;1168;632;370;12186
"412350 Santa Helena";1611;1653;1582;1629;4137;3878;3783;3617;2563;1637;677;26767
"412360 Santa Inês";88;90;87;89;228;225;224;255;145;95;42;1568
"412370 Santa Isabel do Ivaí";451;473;466;481;1155;1194;1139;1322;924;579;339;8523
"412380 Santa Izabel do Oeste";928;924;869;959;2471;2300;1920;1915;1371;745;392;14794
"412382 Santa Lúcia";284;272;243;226;502;487;492;518;370;264;135;3793
"412385 Santa Maria do Oeste";734;702;601;607;1519;1276;1320;1162;849;456;184;9410
"412390 Santa Mariana";626;626;607;624;1603;1527;1608;1746;1323;880;452;11622
"412395 Santa Mônica";307;295;273;272;650;616;563;514;290;159;78;4017
"412402 Santa Tereza do Oeste";768;785;737;701;1841;1461;1348;1136;737;396;186;10096
"412405 Santa Terezinha de Itaipu";1578;1596;1500;1468;3821;3428;3260;3154;2202;1196;496;23699
"412400 Santana do Itararé";326;318;275;301;751;657;704;730;495;267;130;4954
"412410 Santo Antônio da Platina";3309;3248;3126;3199;6917;6932;6042;5817;4184;2312;1165;46251
"412420 Santo Antônio do Caiuá";152;149;135;156;409;339;379;394;266;152;95;2626
"412430 Santo Antônio do Paraíso";131;126;113;122;271;267;272;311;257;139;59;2068
"412440 Santo Antônio do Sudoeste";1551;1495;1339;1361;3317;2812;2424;2555;1861;1029;517;20261
"412450 Santo Inácio";327;322;322;322;822;867;764;777;487;280;155;5445
"412460 São Carlos do Ivaí";445;459;451;451;1129;1046;929;914;575;331;190;6920
"412470 São Jerônimo da Serra";842;791;685;735;1796;1561;1542;1347;960;576;293;11128
"412480 São João";602;610;564;564;1530;1453;1273;1419;1193;644;329;10181
"412490 São João do Caiuá";387;387;358;397;915;805;818;765;515;309;181;5837
"412500 São João do Ivaí";537;546;516;575;1321;1352;1359;1535;1209;730;376;10056
"412510 São João do Triunfo";1284;1231;1112;1067;2673;2353;2023;1663;1048;554;233;15241
"412520 São Jorge d'Oeste";516;523;490;513;1319;1363;1210;1368;976;499;251;9028
"412530 São Jorge do Ivaí";295;312;300;294;760;721;735;885;617;415;209;5543
